DATAFLOW,LAST UPDATE,freq,na_item,sector,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DE,2023-Q2,-7017,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DE,2023-Q3,-17746,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DK,2020-Q4,101.6,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DK,2021-Q1,3293,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DK,2021-Q2,4276.2,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DK,2021-Q3,4182.3,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DK,2021-Q4,2162,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DK,2022-Q1,2817.9,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DK,2022-Q2,3989.3,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DK,2022-Q3,3278.3,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DK,2022-Q4,2636.5,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DK,2023-Q1,3458.9,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DK,2023-Q2,3298.5,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,DK,2023-Q3,2855.3,p
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA19,2020-Q4,-191921.2,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA19,2021-Q1,-248508.9,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA19,2021-Q2,-195076.1,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA19,2021-Q3,-116775.2,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA19,2021-Q4,-88945.4,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA19,2022-Q1,-128050.3,
ESTAT:TEINA205(1.0),1/3/2024 11:00,Q,B9,S13,MEUR_NSA,EA19,2022-Q2,-74591.4,
